Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-07-27,21:30,Champions Lg,Third qualifying round,Wed,Home,W,2,1,fr Monaco,100,"12,223",Simon Kjær,3-3-2-2,4-4-2002,Jesús Gil,Match Report,Leg 1 of 2
2016-08-03,20:45 (21:45),Champions Lg,Third qualifying round,Wed,Away,L,1,3,fr Monaco,55,"8,403",Simon Kjær,3-5-2002,4-2-3-1,Artur Soares Dias,Match Report,Leg 2 of 2; Monaco won
2016-08-18,21:00,Europa Lg,Play-off round,Thu,Home,W,3,0,ch Grasshopper,,"16,28",Volkan Demirel,4-3-2003,3-4-2003,Robert Schörgenhofer,Match Report,Leg 1 of 2
2016-08-21,21:45,Süper Lig,Matchweek 1,Sun,Away,L,0,1,Başakşehir,68,,Volkan Demirel,4-4-2002,4-4-2002,Ali Palabıyık,Match Report,
2016-08-25,19:00 (20:00),Europa Lg,Play-off round,Thu,Away,W,2,0,ch Grasshopper,100,"14,4",Volkan Demirel,4-2-3-1,4-1-4-1,Danny Makkelie,Match Report,Leg 2 of 2; Fenerbahçe won
2016-08-28,21:45,Süper Lig,Matchweek 2,Sun,Home,D,3,3,Kayserispor,63,,Volkan Demirel,4-3-2003,4-2-3-1,Serkan Çınar,Match Report,
2016-09-11,20:00,Süper Lig,Matchweek 3,Sun,Home,L,0,1,Bursaspor,71,,Volkan Demirel,4-3-2003,4-2-3-1,Bülent Yildirim,Match Report,
2016-09-15,20:00,Europa Lg,Group stage,Thu,Away,D,1,1,ua Zorya Luhansk,60,16,Volkan Demirel,4-3-2003,4-4-1-1,István Kovács,Match Report,
2016-09-19,20:00,Süper Lig,Matchweek 4,Mon,Away,W,5,1,Kasımpaşa,50,,Volkan Demirel,4-3-2003,4-2-3-1,Hüseyin Göçek,Match Report,
2016-09-25,19:00,Süper Lig,Matchweek 5,Sun,Home,W,2,1,Gaziantepspor,53,,Volkan Demirel,4-1-4-1,4-2-3-1,Fırat Aydınus,Match Report,
2016-09-29,22:05,Europa Lg,Group stage,Thu,Home,W,1,0,nl Feyenoord,46,31,Volkan Demirel,4-3-2003,4-3-2003,Jonas Eriksson,Match Report,
2016-10-02,19:00,Süper Lig,Matchweek 6,Sun,Away,D,1,1,Osmanlıspor,50,,Volkan Demirel,4-3-2003,4-2-3-1,Mete Kalkavan,Match Report,
2016-10-16,16:00,Süper Lig,Matchweek 7,Sun,Home,D,1,1,Alanyaspor,51,,Volkan Demirel,4-4-2002,4-2-3-1,Alper Ulusoy,Match Report,
2016-10-20,20:05 (22:05),Europa Lg,Group stage,Thu,Away,L,1,4,eng Manchester Utd,39,71,Volkan Demirel,4-3-2003,4-2-3-1,Benoît Bastien,Match Report,
2016-10-24,20:00,Süper Lig,Matchweek 8,Mon,Away,W,1,0,Konyaspor,39,,Volkan Demirel,4-2-3-1,4-2-3-1,Bülent Yildirim,Match Report,
2016-10-30,19:00,Süper Lig,Matchweek 9,Sun,Home,W,5,0,Karabükspor,49,,Volkan Demirel,4-2-3-1,4-3-2003,Fırat Aydınus,Match Report,
2016-11-03,21:00,Europa Lg,Group stage,Thu,Home,W,2,1,eng Manchester Utd,30,"35,378",Volkan Demirel,4-3-2003,4-2-3-1,Milorad Mažić,Match Report,
2016-11-06,19:00,Süper Lig,Matchweek 10,Sun,Away,W,3,1,Akhisarspor,50,,Volkan Demirel,4-2-3-1,4-2-3-1,Halil Meler,Match Report,
2016-11-20,20:00,Süper Lig,Matchweek 11,Sun,Home,W,2,0,Galatasaray,43,,Volkan Demirel,4-2-3-1,4-2-3-1,Cüneyt Çakιr,Match Report,
2016-11-24,19:00,Europa Lg,Group stage,Thu,Home,W,2,0,ua Zorya Luhansk,59,"16,145",Volkan Demirel,4-3-2003,4-4-1-1,Harald Lechner,Match Report,
2016-11-27,19:00,Süper Lig,Matchweek 12,Sun,Away,W,5,1,Rizespor,55,,Volkan Demirel,4-4-2002,4-4-2002,Ali Palabıyık,Match Report,
2016-12-03,19:00,Süper Lig,Matchweek 13,Sat,Home,D,0,0,Beşiktaş,48,,Volkan Demirel,4-2-3-1,4-2-3-1,Hüseyin Göçek,Match Report,
2016-12-08,19:00 (21:00),Europa Lg,Group stage,Thu,Away,W,1,0,nl Feyenoord,38,32,Volkan Demirel,4-3-2003,4-1-4-1,David Fernández,Match Report,
2016-12-12,20:00,Süper Lig,Matchweek 14,Mon,Away,L,0,1,Antalyaspor,55,,Volkan Demirel,4-2-3-1,4-2-3-1,Cüneyt Çakιr,Match Report,
2016-12-19,20:00,Süper Lig,Matchweek 15,Mon,Home,W,3,0,Gençlerbirliği,47,,Volkan Demirel,4-2-3-1,4-2-3-1,Fırat Aydınus,Match Report,
2016-12-26,20:00,Süper Lig,Matchweek 16,Mon,Away,W,3,0,Trabzonspor,58,,Volkan Demirel,4-2-3-1,4-2-3-1,Ali Palabıyık,Match Report,
2017-01-15,19:00,Süper Lig,Matchweek 17,Sun,Home,D,2,2,Adanaspor,60,,Volkan Demirel,4-2-3-1,4-2-3-1,Serkan Çınar,Match Report,
2017-01-22,19:00,Süper Lig,Matchweek 18,Sun,Home,W,1,0,Başakşehir,45,,Volkan Demirel,4-2-3-1,4-2-3-1,Bülent Yildirim,Match Report,
2017-01-29,19:00,Süper Lig,Matchweek 19,Sun,Away,L,1,4,Kayserispor,56,,Volkan Demirel,4-2-3-1,4-2-3-1,Mete Kalkavan,Match Report,
2017-02-11,19:00,Süper Lig,Matchweek 20,Sat,Away,D,1,1,Bursaspor,59,,Volkan Demirel,4-2-3-1,4-2-3-1,Halil Meler,Match Report,
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-02-16,19:00,Europa Lg,Round of 32,Thu,Away,L,0,1,ru Krasnodar,50,"32,46",Volkan Demirel,4-3-2003,4-3-2003,Ivan Kružliak,Match Report,Leg 1 of 2
2017-02-19,15:00,Süper Lig,Matchweek 21,Sun,Home,D,0,0,Kasımpaşa,64,,Volkan Demirel,4-2-3-1,4-2-3-1,Fırat Aydınus,Match Report,
2017-02-22,20:00,Europa Lg,Round of 32,Wed,Home,D,1,1,ru Krasnodar,59,"21,788",Volkan Demirel,4-3-2003,4-3-2003,Paweł Raczkowski,Match Report,Leg 2 of 2; Krasnodar won
2017-02-26,19:00,Süper Lig,Matchweek 22,Sun,Away,D,1,1,Gaziantepspor,63,,Mehmet Topal,4-2-3-1,4-1-4-1,Yaşar Kemal Uğurlu,Match Report,
